Content,ID of source revision,Named Entity,Reference,Markup,Position (MathToken)
"""\""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,15
"""lambda""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,16
"""_""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,17
"""{""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,18
"""0i""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,19
"""}""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,20
"""[""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,21
"""M""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,22
"""_""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,23
"""0""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,24
"""]""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,25
"""\""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,26
"""mathbf""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,27
"""{""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,28
"""x""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,29
"""}""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,30
"""_""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,31
"""{""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,32
"""0i""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,33
"""}""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,34
"""\""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,35
"""qquad""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,36
"""(""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,37
"""1""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,38
""")""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,39
""".""",121656077,O,,text,/
"""That""",121656077,O,,text,/
"""is""",0,O,,text,/
""",""",121656077,O,,text,/
"""we""",0,O,,text,/
"""know""",121656077,O,,text,/
"""\""",121656077,O,\lambda_{0i},math,0
"""lambda""",121656077,O,\lambda_{0i},math,1
"""_""",121656077,O,\lambda_{0i},math,2
"""{""",121656077,O,\lambda_{0i},math,3
"""0i""",121656077,O,\lambda_{0i},math,4
"""}""",121656077,O,\lambda_{0i},math,5
"""and""",0,O,,text,/
"""\""",121656077,O,\mathbf{x}_{0i},math,0
"""mathbf""",121656077,O,\mathbf{x}_{0i},math,1
"""{""",121656077,O,\mathbf{x}_{0i},math,2
"""x""",121656077,O,\mathbf{x}_{0i},math,3
"""}""",121656077,O,\mathbf{x}_{0i},math,4
"""_""",121656077,O,\mathbf{x}_{0i},math,5
"""{""",121656077,O,\mathbf{x}_{0i},math,6
"""0i""",121656077,O,\mathbf{x}_{0i},math,7
"""}""",121656077,O,\mathbf{x}_{0i},math,8
"""for""",0,O,,text,/
"""i""",0,O,"i=1,\dots,N",math,0
"""=""",121656077,O,"i=1,\dots,N",math,1
"""1""",121656077,O,"i=1,\dots,N",math,2
""",""",121656077,O,"i=1,\dots,N",math,3
"""\""",121656077,O,"i=1,\dots,N",math,4
"""dots""",121656077,O,"i=1,\dots,N",math,5
""",""",121656077,O,"i=1,\dots,N",math,6
"""N""",121656077,O,"i=1,\dots,N",math,7
""".""",121656077,O,,text,/
"""Now""",121656077,O,,text,/
"""suppose""",121656077,O,,text,/
"""we""",0,O,,text,/
"""want""",121656077,O,,text,/
"""to""",0,O,,text,/
"""change""",121656077,O,,text,/
"""the""",0,O,,text,/
"""matrices""",121656077,O,,text,/
"""by""",0,O,,text,/
"""a""",0,O,,text,/
"""small""",121656077,O,,text,/
"""amount""",0,O,,text,/
""".""",121656077,O,,text,/
"""That""",121656077,O,,text,/
"""is""",0,O,,text,/
""",""",121656077,O,,text,/
"""we""",0,O,,text,/
"""want""",121656077,O,,text,/
"""to""",0,O,,text,/
"""let""",121656077,O,,text,/
"""[""",121656077,O,[K] = [K_0]+[\delta K],math,0
"""K""",121656077,O,[K] = [K_0]+[\delta K],math,1
"""]""",121656077,O,[K] = [K_0]+[\delta K],math,2
"""=""",121656077,O,[K] = [K_0]+[\delta K],math,3
"""[""",121656077,O,[K] = [K_0]+[\delta K],math,4
"""K""",121656077,O,[K] = [K_0]+[\delta K],math,5
"""_""",121656077,O,[K] = [K_0]+[\delta K],math,6
"""0""",121656077,O,[K] = [K_0]+[\delta K],math,7
"""]""",121656077,O,[K] = [K_0]+[\delta K],math,8
"""+""",121656077,O,[K] = [K_0]+[\delta K],math,9
"""[""",121656077,O,[K] = [K_0]+[\delta K],math,10
"""\""",121656077,O,[K] = [K_0]+[\delta K],math,11
"""delta""",121656077,O,[K] = [K_0]+[\delta K],math,12
"""K""",121656077,O,[K] = [K_0]+[\delta K],math,13
"""]""",121656077,O,[K] = [K_0]+[\delta K],math,14
"""and""",0,O,,text,/
"""[""",121656077,O,[M] = [M_0]+[\delta M],math,0
"""M""",121656077,O,[M] = [M_0]+[\delta M],math,1
"""]""",121656077,O,[M] = [M_0]+[\delta M],math,2
"""=""",121656077,O,[M] = [M_0]+[\delta M],math,3
"""[""",121656077,O,[M] = [M_0]+[\delta M],math,4
"""M""",121656077,O,[M] = [M_0]+[\delta M],math,5
"""_""",121656077,O,[M] = [M_0]+[\delta M],math,6
"""0""",121656077,O,[M] = [M_0]+[\delta M],math,7
"""]""",121656077,O,[M] = [M_0]+[\delta M],math,8
"""+""",121656077,O,[M] = [M_0]+[\delta M],math,9
"""[""",121656077,O,[M] = [M_0]+[\delta M],math,10
"""\""",121656077,O,[M] = [M_0]+[\delta M],math,11
"""delta""",121656077,O,[M] = [M_0]+[\delta M],math,12
"""M""",121656077,O,[M] = [M_0]+[\delta M],math,13
"""]""",121656077,O,[M] = [M_0]+[\delta M],math,14
"""where""",0,O,,text,/
"""all""",0,O,,text,/
"""of""",0,O,,text,/
"""the""",0,O,,text,/
"""\""",121656077,O,\delta,math,0
"""delta""",121656077,O,\delta,math,1
"""terms""",121656077,O,,text,/
"""are""",0,O,,text,/
"""much""",0,O,,text,/
"""smaller""",121656077,O,,text,/
"""than""",0,O,,text,/
"""the""",0,O,,text,/
"""corresponding""",121656077,O,,text,/
"""term""",121656077,O,,text,/
""".""",121656077,O,,text,/
"""We""",121656077,O,,text,/
"""expect""",121656077,O,,text,/
"""answers""",121656077,O,,text,/
"""to""",0,O,,text,/
"""be""",0,O,,text,/
"""of""",0,O,,text,/
"""the""",0,O,,text,/
"""form""",121656077,O,,text,/
"""\""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,0
"""lambda""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,1
"""_""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,2
"""i""",0,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,3
"""=""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,4
"""\""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,5
"""lambda""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,6
"""_""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,7
"""{""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,8
"""0i""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,9
"""}""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,10
"""+""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,11
"""\""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,12
"""delta""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,13
"""\""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,14
"""lambda""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,15
"""_""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,16
"""{""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,17
"""0i""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,18
"""}""",121656077,O,\lambda_i = \lambda_{0i}+\delta\lambda_{0i},math,19
"""and""",0,O,,text,/
"""\""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,0
"""mathbf""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,1
"""{""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,2
"""x""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,3
"""}""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,4
"""_""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,5
"""i""",0,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,6
"""=""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,7
"""\""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,8
"""mathbf""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,9
"""{""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,10
"""x""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,11
"""}""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,12
"""_""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,13
"""{""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,14
"""0i""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,15
"""}""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,16
"""+""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,17
"""\""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,18
"""delta""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,19
"""\""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,20
"""mathbf""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,21
"""{""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,22
"""x""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,23
"""}""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,24
"""_""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,25
"""{""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,26
"""0i""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,27
"""}""",121656077,O,\mathbf{x}_i = \mathbf{x}_{0i}+\delta\mathbf{x}_{0i},math,28
""".""",121656077,O,,text,/
"""2""",121656077,O,,header,/
""".""",121656077,O,,header,/
"""Steps""",121656077,O,,header,/
"""We""",121656077,O,,text,/
"""assume""",121656077,O,,text,/
"""that""",0,O,,text,/
"""the""",0,O,,text,/
"""matrices""",121656077,O,,text,/
"""are""",0,O,,text,/
"""symmetric""",121656077,O,symmetric matrix,link,/
"""and""",0,O,,text,/
"""positive""",121656077,O,positive definite,link,/
"""definite""",121656077,O,positive definite,link,/
"""and""",0,O,,text,/
"""assume""",121656077,O,,text,/
"""we""",0,O,,text,/
"""have""",0,O,,text,/
"""scaled""",121656077,O,,text,/
"""the""",0,O,,text,/
"""eigenvectors""",121656077,O,,text,/
"""are""",0,O,,text,/
"""scaled""",121656077,O,,text,/
"""such""",0,O,,text,/
"""that""",0,O,,text,/
"""\""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,0
"""mathbf""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,1
"""{""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,2
"""x""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,3
"""}""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,4
"""_""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,5
"""{""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,6
"""0j""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,7
"""}""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,8
"""^""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,9
"""T""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,10
"""[""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,11
"""M""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,12
"""_""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,13
"""0""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,14
"""]""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,15
"""\""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,16
"""mathbf""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,17
"""{""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,18
"""x""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,19
"""}""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,20
"""_""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,21
"""{""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,22
"""0i""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,23
"""}""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,24
"""=""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,25
"""\""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,26
"""delta""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,27
"""_""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,28
"""i""",0,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,29
"""^""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,30
"""j""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,31
"""\""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,32
"""qquad""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,33
"""(""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,34
"""2""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,35
""")""",121656077,O,\mathbf{x}_{0j}^T[M_0]\mathbf{x}_{0i} = \delta_i^j \qquad(2),math,36
"""where""",0,O,,text,/
"""\""",121656077,O,\delta_i^j,math,0
"""delta""",121656077,O,\delta_i^j,math,1
"""_""",121656077,O,\delta_i^j,math,2
"""i""",0,O,\delta_i^j,math,3
"""^""",121656077,O,\delta_i^j,math,4
"""j""",121656077,O,\delta_i^j,math,5
"""is""",0,O,,text,/
"""the""",0,O,,text,/
"""Kronecker""",121656077,O,Kronecker delta,link,/
"""delta""",121656077,O,Kronecker delta,link,/
""".""",121656077,O,,text,/
"""Define""",121656077,O,,text,/
"""\""",121656077,O,\omega_i,math,0
"""omega""",121656077,O,\omega_i,math,1
"""_""",121656077,O,\omega_i,math,2
"""i""",0,O,\omega_i,math,3
"""as""",0,O,,text,/
"""\""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,0
"""mathbf""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,1
"""{""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,2
"""x""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,3
"""}""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,4
"""_""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,5
"""{""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,6
"""0j""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,7
"""}""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,8
"""^""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,9
"""T""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,10
"""[""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,11
"""K""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,12
"""_""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,13
"""0""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,14
"""]""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,15
"""\""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,16
"""mathbf""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,17
"""{""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,18
"""x""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,19
"""}""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,20
"""_""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,21
"""{""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,22
"""0i""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,23
"""}""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,24
"""=""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,25
"""\""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,26
"""omega""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,27
"""_""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,28
"""i""",0,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,29
"""^""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,30
"""2""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,31
"""\""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,32
"""delta""",121656077,O,\mathbf{x}_{0j}^T[K_0]\mathbf{x}_{0i} = \omega_i^2 \delta_i^j,math,33
